Ticker,Name,Price,IV %,Trend,P/S,Fwd P/E,Avg Vol (M),Earnings
AA,ALCOA CORP COM,41.57,72.9,UP,0.84,13.03,6.79,N/A
AAL,AMERICAN AIRLS GROUP INC COM,13.93,32.0,UP,0.17,6.9,69.88,N/A
AAOI,APPLIED OPTOELECTRONICS INC COM,25.57,118.0,UP,4.14,35.03,5.3,N/A
AAP,ADVANCE AUTO PARTS INC COM,51.49,57.7,UP,0.36,19.14,1.66,N/A
AAPL,APPLE INC COM,277.55,13.2,UP,9.9,33.4,51.52,N/A
ABAT,AMERICAN BATTERY TECHNOLOGY COM NEW,3.58,150.0,UP,92.58,-25.57,13.11,N/A
ABBV,ABBVIE INC COM,227.66,21.1,UP,6.75,18.77,5.92,N/A
ABNB,AIRBNB INC COM CL A,116.74,23.9,DOWN,5.98,25.94,5.01,N/A
ABR,ARBOR REALTY TRUST INC COM,9.03,46.9,DOWN,3.46,5.9,2.99,N/A
ABT,ABBOTT LABS COM,128.54,24.0,DOWN,5.1,24.91,6.21,N/A
ABTC,AMERICAN BITCOIN CORP. COM CL A,4.2,103.1,DOWN,31.8,N/A,4.89,N/A
ACHR,ARCHER AVIATION INC COM CL A,7.49,56.3,DOWN,N/A,-7.57,57.12,N/A
ACI,ALBERTSONS COS INC COMMON STOCK,18.14,51.6,DOWN,0.12,7.99,7.86,N/A
ACN,ACCENTURE PLC IRELAND SHS CLASS A,247.85,37.9,DOWN,2.22,17.62,4.61,N/A
ADBE,ADOBE INC COM,317.52,25.1,DOWN,5.81,15.45,4.35,N/A
ADI,ANALOG DEVICES INC COM,257.92,49.8,UP,11.46,34.21,3.4,N/A
ADM,ARCHER DANIELS MIDLAND CO COM,60.55,24.4,UP,0.35,11.94,3.68,N/A
ADP,AUTOMATIC DATA PROCESSING INC COM,254.33,23.5,DOWN,4.93,23.4,1.98,N/A
ADSK,AUTODESK INC COM,301.38,25.4,UP,9.36,32.83,1.54,N/A
AEM,AGNICO EAGLE MINES LTD COM,173.02,36.8,UP,8.22,37.94,2.95,N/A
AEO,AMERICAN EAGLE OUTFITTERS INC COM,20.26,50.8,UP,0.67,10.44,9.91,N/A
AES,AES CORP COM,13.91,21.1,UP,0.82,6.85,10.19,N/A
AFL,AFLAC INC COM,110.55,49.4,UP,3.34,15.42,2.25,N/A
AFRM,AFFIRM HLDGS INC COM CL A,68.8,49.0,UP,6.56,146.38,7.36,N/A
AG,FIRST MAJESTIC SILVER CORP COM,13.51,53.9,UP,6.86,51.96,21.27,N/A
AGNC,AGNC INVT CORP COM,10.56,24.2,UP,11.85,6.1,21.86,N/A
AGQ,PROSHARES TR II ULTRA SILVER NEW,0,481.3,Down,N/A,N/A,3.07,N/A
AI,C3 AI INC CL A,14.16,55.5,DOWN,5.25,-41.65,7.96,N/A
AIG,AMERICAN INTL GROUP INC COM NEW,76.04,77.1,DOWN,1.55,11.33,4.46,N/A
ALAB,ASTERA LABS INC COM,154.22,71.7,UP,36.03,134.1,6.31,N/A
ALB,ALBEMARLE CORP COM,126.91,55.1,UP,3.02,68.97,3.79,N/A
ALGN,ALIGN TECHNOLOGY INC COM,147.23,65.2,DOWN,2.68,14.35,1.37,N/A
ALT,ALTIMMUNE INC COM NEW,5.17,81.3,UP,26972.51,-3.52,2.86,N/A
AMAT,APPLIED MATLS INC COM,249.97,36.9,UP,7.02,25.8,8.47,N/A
AMBA,AMBARELLA INC SHS,73.89,68.9,UP,8.44,-410.5,0.9,N/A
AMC,AMC ENTMT HLDGS INC CL A NEW,2.3,109.4,DOWN,0.24,-3.33,19.94,N/A
AMD,ADVANCED MICRO DEVICES INC COM,214.24,39.0,UP,10.89,42.01,59.08,N/A
AMDL,GRANITESHARES ETF TR GRANITE 2X LONG,0,2131.3,Down,N/A,N/A,25.99,N/A
AMGN,AMGEN INC COM,344.57,26.3,UP,5.16,16.67,2.59,N/A
AMZN,AMAZON COM INC COM,229.16,19.9,UP,3.54,37.26,48.5,N/A
ANET,ARISTA NETWORKS INC COM SHS,127.65,42.9,UP,19.03,13.12,9.08,N/A
ANF,ABERCROMBIE & FITCH CO CL A,95.14,61.6,UP,0.87,8.78,2.04,N/A
ANVS,ANNOVIS BIO INC COM,4.92,214.1,UP,N/A,-2.72,1.66,N/A
APA,APA CORPORATION COM,24.67,62.1,UP,0.94,8.97,7.43,N/A
APLD,APPLIED DIGITAL CORP COM NEW,24.94,69.7,UP,40.19,-73.35,30.75,N/A
APO,APOLLO GLOBAL MGMT INC COM,130.27,52.3,DOWN,2.78,15.36,3.63,N/A
APP,APPLOVIN CORP COM CL A,586.37,44.7,UP,31.45,113.64,6.99,N/A
APT,ALPHA PRO TECH LTD COM,4.55,140.6,DOWN,0.81,3.92,0.02,N/A
AR,ANTERO RESOURCES CORP COM,35.12,61.7,DOWN,2.17,16.33,4.71,N/A
ARKG,ARK Genomic Revolution ETF,0,500.0,Down,N/A,N/A,3.5,N/A
ARKK,ARK Innovation ETF,0,455.5,Down,N/A,N/A,9.95,N/A
ARM,ARM HOLDINGS PLC SPONSORED ADS,132.61,51.5,DOWN,31.89,64.37,4.88,N/A
ASAN,ASANA INC CL A,12.47,44.5,DOWN,3.89,-311.75,3.97,N/A
ASHR,DBX ETF TR XTRACK HRVST CSI,0,437.5,Down,N/A,N/A,7.42,N/A
ASML,ASML HOLDING N V N Y REGISTRY SHS,1040.97,40.1,UP,12.54,38.99,1.57,N/A
ASO,ACADEMY SPORTS & OUTDOORS INC COM,48.22,85.4,UP,0.54,6.98,1.78,N/A
ASPI,ASP ISOTOPES INC COM,5.92,77.3,DOWN,78.08,-39.47,7.76,N/A
ASST,STRIVE INC CL A COM,1.13,212.5,DOWN,167.18,N/A,82.64,N/A
ASTS,AST SPACEMOBILE INC COM CL A,55.52,72.0,UP,832.94,-78.2,12.75,N/A
ATYR,ATYR PHARMA INC COM NEW,0.7652,393.8,DOWN,394.63,-0.97,10.94,N/A
AUR,AURORA INNOVATION INC CLASS A COM,4.05,103.1,DOWN,3919.13,-9.0,17.51,N/A
AVAV,AEROVIRONMENT INC COM,279.19,58.1,UP,12.84,64.63,1.07,N/A
AVGO,BROADCOM INC COM,397.57,29.5,UP,31.33,64.44,24.58,N/A
AXP,AMERICAN EXPRESS CO COM,363.97,17.7,UP,3.88,24.07,2.64,N/A
B,BARRICK MNG CORP COM SHS,40.98,28.1,UP,4.8,13.05,22.0,N/A
