Ticker,Name,Price,IV %,Trend,SMA 50,SMA 200,P/S,Fwd P/E,Avg Vol (M),Earnings
ASPI,ASP ISOTOPES INC COM,6.08,124.2,FLAT,8.11,7.74,80.19,-11.33,7.87,N/A
ASST,STRIVE INC CL A COM,0.8985,131.3,DOWN,1.09,3.17,141.72,-89.85,101.49,N/A
ASTS,AST SPACEMOBILE INC COM CL A,75.84,110.3,UP,70.4,46.83,1503.63,-98.43,13.46,N/A
ATYR,ATYR PHARMA INC COM NEW,0.75,1162.5,DOWN,0.83,3.21,386.79,-1.42,6.14,N/A
AUR,AURORA INNOVATION INC CLASS A COM,4.16,75.0,DOWN,4.54,5.74,4025.57,-8.85,16.77,N/A
AVAV,AEROVIRONMENT INC COM,243.01,53.5,FLAT,313.58,237.68,8.86,52.68,1.09,N/A
AVGO,BROADCOM INC COM,340.36,38.6,FLAT,361.52,283.62,25.26,24.52,28.24,N/A
AXP,AMERICAN EXPRESS CO COM,376.51,22.4,UP,359.18,313.07,4.01,21.54,2.59,N/A
B,BARRICK MNG CORP COM SHS,44.73,39.0,UP,37.01,26.21,5.24,13.29,19.78,N/A
BA,BOEING CO COM,214.08,25.1,FLAT,202.19,203.15,2.08,91.54,8.83,N/A
BABA,ALIBABA GROUP HLDG LTD SPONSORED ADS,149.79,30.2,FLAT,161.85,137.18,0.35,16.07,15.16,N/A
BAC,BANK AMERICA CORP COM,55.27,18.6,UP,52.82,47.15,4.04,12.67,36.16,N/A
BAX,BAXTER INTL INC COM,18.96,43.2,DOWN,19.69,26.17,0.88,8.23,7.88,N/A
BB,BLACKBERRY LTD COM,3.77,64.8,FLAT,4.42,4.07,4.16,22.95,10.81,N/A
BBAI,BIGBEAR AI HLDGS INC COM,6.26,85.2,FLAT,6.52,5.33,18.95,-31.3,126.02,N/A
BBWI,BATH & BODY WORKS INC COM,19.79,53.9,DOWN,21.87,27.53,0.55,7.3,7.95,N/A
BBY,BEST BUY INC COM,71.83,29.7,FLAT,77.32,72.31,0.36,10.64,3.86,N/A
BE,BLOOM ENERGY CORP COM CL A,88.82,102.1,FLAT,109.61,53.32,11.55,83.69,15.29,N/A
BEKE,KE HLDGS INC SPONSORED ADS,16.0,33.0,DOWN,17.13,18.78,0.18,17.88,4.89,N/A
