Ticker,Name,Price,IV %,Trend,SMA 50,SMA 200,P/S,Fwd P/E,Avg Vol (M),Earnings
ASML,ASML HOLDING N V N Y REGISTRY SHS,1110.08,29.2,UP,1023.21,809.12,13.38,41.58,1.59,N/A
ASO,ACADEMY SPORTS & OUTDOORS INC COM,49.29,82.6,UP,48.58,47.1,0.55,7.13,1.69,N/A
ASPI,ASP ISOTOPES INC COM,6.67,157.8,SIDEWAYS,8.87,7.64,87.98,-44.47,7.67,N/A
ASST,STRIVE INC CL A COM,0.9766,125.0,DOWN,1.42,3.15,144.48,N/A,88.14,N/A
ASTS,AST SPACEMOBILE INC COM CL A,72.65,84.2,UP,68.43,44.2,1440.38,-102.32,12.86,N/A
ATYR,ATYR PHARMA INC COM NEW,0.8278,312.5,DOWN,0.84,3.38,426.91,-1.05,10.83,N/A
AUR,AURORA INNOVATION INC CLASS A COM,4.57,82.8,DOWN,4.78,5.92,4422.32,-10.16,17.7,N/A
AVAV,AEROVIRONMENT INC COM,287.45,47.4,SIDEWAYS,336.61,231.43,13.22,66.54,1.08,N/A
AVGO,BROADCOM INC COM,381.03,30.3,UP,354.45,273.65,30.03,61.76,24.5,N/A
AXP,AMERICAN EXPRESS CO COM,371.15,24.1,UP,349.46,308.21,3.96,24.55,2.58,N/A
B,BARRICK MNG CORP COM SHS,40.91,56.6,UP,35.05,24.76,4.79,12.7,21.91,N/A
BA,BOEING CO COM,201.87,25.2,SIDEWAYS,205.11,201.25,1.9,429.51,8.64,N/A
BABA,ALIBABA GROUP HLDG LTD SPONSORED ADS,157.44,29.0,SIDEWAYS,167.89,136.05,0.37,15.95,18.32,N/A
BAC,BANK AMERICA CORP COM,54.16,9.2,UP,52.04,46.54,3.95,14.8,35.19,N/A
BAX,BAXTER INTL INC COM,18.48,38.3,DOWN,20.56,27.11,0.86,6.42,7.27,N/A
BB,BLACKBERRY LTD COM,4.25,182.8,SIDEWAYS,4.53,4.11,4.73,53.12,10.18,N/A
BBAI,BIGBEAR AI HLDGS INC COM,7.02,77.3,UP,6.7,5.29,21.25,-35.1,119.28,N/A
BBWI,BATH & BODY WORKS INC COM,19.01,70.3,DOWN,23.01,28.62,0.53,5.4,8.15,N/A
BBY,BEST BUY INC COM,74.06,41.1,SIDEWAYS,77.97,73.11,0.37,10.83,3.53,N/A
