Ticker,Name,Price,IV %,Trend,SMA 50,SMA 200,P/S,Fwd P/E,Avg Vol (M),Earnings
FISV,FISERV INC COM,66.06,31.7,DOWN,94.5,155.67,N/A,N/A,9.36,N/A
FLY,FIREFLY AEROSPACE INC COM,20.22,94.1,DOWN,24.35,33.32,28.95,-26.43,2.04,N/A
FSLR,FIRST SOLAR INC COM,257.28,40.8,UP,245.69,182.72,5.47,12.33,2.23,N/A
FSLY,FASTLY INC CL A,11.52,85.2,UP,9.56,7.61,2.91,576.0,3.87,N/A
FTAI,FTAI AVIATION LTD SHS,175.84,50.3,UP,167.79,134.72,7.69,35.81,1.13,N/A
FTNT,FORTINET INC COM,85.18,25.7,SIDEWAYS,83.5,93.44,9.96,35.34,5.47,N/A
FUBO,FUBOTV INC CLASS A COM SHS,2.9,56.3,SIDEWAYS,3.63,3.46,0.61,-9.06,15.36,N/A
FUTU,FUTU HLDGS LTD SPON ADS CL A,170.87,70.5,SIDEWAYS,173.62,140.05,1.25,31.35,2.18,N/A
FXI,ISHARES TR CHINA LG-CAP ETF,0,210.5,SIDEWAYS,40.12,37.52,N/A,N/A,31.96,N/A
GAP,GAP INC COM,26.51,49.2,UP,23.16,22.17,0.65,13.0,9.26,N/A
GBTC,GRAYSCALE BITCOIN TRUST ETF SHS REP COM UT,0,214.5,SIDEWAYS,82.43,81.32,N/A,N/A,4.84,N/A
GD,GENERAL DYNAMICS CORP COM,341.7,16.5,UP,340.48,300.79,1.79,21.25,1.1,N/A
GDDY,GODADDY INC CL A,130.26,43.4,DOWN,131.4,160.02,3.7,19.41,1.49,N/A
GDX,VANECK ETF TRUST GOLD MINERS ETF,0,741.8,SIDEWAYS,76.18,57.98,N/A,N/A,27.38,N/A
GDXJ,VANECK ETF TRUST JUNIOR GOLD MINE,0,677.5,SIDEWAYS,98.95,74.15,N/A,N/A,6.63,N/A
GE,GE AEROSPACE COM NEW,291.86,21.5,SIDEWAYS,300.7,252.48,7.04,55.7,4.01,N/A
GEHC,GE HEALTHCARE TECHNOLOGIES INC COMMON STOCK,82.52,52.2,UP,75.5,74.79,1.86,17.67,3.72,N/A
GEMI,GEMINI SPACE STA INC CL A COM,11.86,75.0,DOWN,17.81,19.25,8.59,-4.6,3.48,N/A
GEV,GE VERNOVA INC COM,629.11,47.0,UP,590.4,501.54,4.55,91.18,2.96,N/A
GILD,GILEAD SCIENCES INC COM,122.62,41.4,UP,120.43,112.82,5.23,16.5,7.39,N/A
GLD,SPDR GOLD TR GOLD SHS,0,198.4,SIDEWAYS,373.42,319.94,N/A,N/A,16.55,N/A
GLW,CORNING INC COM,85.45,46.5,UP,84.43,61.51,4.91,36.99,7.84,N/A
GLXY,GALAXY DIGITAL INC. CL A,27.57,94.1,SIDEWAYS,33.26,27.62,0.47,-313.3,9.35,N/A
GM,GENERAL MTRS CO COM,75.29,21.2,UP,65.96,54.42,0.38,7.12,9.14,N/A
GME,GAMESTOP CORP NEW CL A,22.95,35.9,DOWN,22.97,24.5,2.67,-2295.0,8.27,N/A
GNRC,GENERAC HLDGS INC COM,163.24,56.4,SIDEWAYS,166.05,150.61,2.2,19.88,1.15,N/A
GOOG,ALPHABET INC CAP STK CL C,318.39,21.6,UP,273.76,205.16,9.97,35.57,23.7,N/A
GOOGL,ALPHABET INC CAP STK CL A,317.62,21.6,UP,273.18,204.02,9.98,35.45,36.99,N/A
GOOS,CANADA GOOSE HLDGS INC SHS SUB VTG,13.96,125.8,UP,13.46,11.53,0.99,17.23,0.7,N/A
GPRO,GOPRO INC CL A,1.84,143.8,SIDEWAYS,1.91,1.21,0.45,10.22,8.63,N/A
GRAB,GRAB HOLDINGS LIMITED CLASS A ORD,5.3,57.8,SIDEWAYS,5.73,5.1,6.71,176.67,56.03,N/A
GRRR,GORILLA TECHNOLOGY GROUP INC SHS NEW,15.49,72.3,DOWN,16.03,19.31,3.52,49.97,1.55,N/A
GS,GOLDMAN SACHS GROUP INC COM,837.83,19.0,UP,785.31,677.68,4.42,20.16,1.98,N/A
GSK,GSK PLC SPONSORED ADR,48.57,35.9,UP,45.16,40.24,3.05,11.3,5.32,N/A
GTLB,GITLAB INC CLASS A COM,37.51,58.2,DOWN,45.29,47.1,6.97,58.61,4.69,N/A
GTM,ZOOMINFO TECHNOLOGIES INC COMMON STOCK,9.91,65.2,SIDEWAYS,10.47,10.21,2.55,8.92,4.45,N/A
HAL,HALLIBURTON CO COM,27.83,29.7,UP,25.47,23.03,1.07,8.56,12.71,N/A
HD,HOME DEPOT INC COM,351.17,25.3,DOWN,375.2,375.85,2.1,22.51,3.76,N/A
HIMS,HIMS & HERS HEALTH INC COM CL A,40.02,61.3,SIDEWAYS,46.45,46.33,4.12,87.0,27.49,N/A
HIVE,HIVE DIGITAL TECHNOLOGIES LTD COM NEW,3.32,87.5,SIDEWAYS,4.67,2.76,4.09,66.4,32.68,N/A
HL,HECLA MNG CO COM,16.82,52.0,UP,13.7,8.19,9.2,62.3,23.28,N/A
HLF,HERBALIFE LTD COM SHS,12.08,93.8,UP,9.36,8.63,0.25,6.07,1.64,N/A
HLT,HILTON WORLDWIDE HLDGS INC COM,273.45,37.2,UP,266.78,255.79,13.21,34.22,1.74,N/A
HOG,HARLEY DAVIDSON INC COM,23.73,57.4,SIDEWAYS,26.01,25.48,0.62,5.8,1.84,N/A
HON,HONEYWELL INTL INC COM,192.23,31.3,DOWN,194.89,202.45,3.19,17.46,4.66,N/A
HOOD,ROBINHOOD MKTS INC COM CL A,137.08,44.7,UP,132.98,89.72,29.32,187.78,35.5,N/A
HPE,HEWLETT PACKARD ENTERPRISE CO COM,22.9,130.5,SIDEWAYS,23.35,20.06,0.91,10.9,30.42,N/A
HPQ,HP INC COM,25.9,27.0,DOWN,26.12,26.68,0.44,7.19,11.95,N/A
HRL,HORMEL FOODS CORP COM,24.16,44.1,SIDEWAYS,23.14,27.68,1.1,14.3,4.66,N/A
HSBC,HSBC HLDGS PLC SPON ADR NEW,71.71,52.5,UP,69.4,62.5,4.25,51.59,1.69,N/A
HSY,HERSHEY CO COM,182.46,57.9,UP,181.65,175.3,3.22,21.72,1.65,N/A
HTZ,HERTZ GLOBAL HLDGS INC COM NEW,5.14,59.4,DOWN,5.65,5.81,0.19,-4.94,11.9,N/A
HUM,HUMANA INC COM,253.02,50.0,SIDEWAYS,262.53,258.74,0.24,15.02,1.91,N/A
HUT,HUT 8 CORP COM,42.81,87.9,SIDEWAYS,43.06,24.63,25.94,-535.12,7.56,N/A
HWM,HOWMET AEROSPACE INC COM,196.27,30.0,SIDEWAYS,197.91,169.6,9.91,61.91,2.08,N/A
HYG,ISHARES TR IBOXX HI YD ETF,0,31.3,SIDEWAYS,80.05,79.85,N/A,1345.83,42.41,N/A
IAU,ISHARES GOLD TR ISHARES NEW,0,335.5,SIDEWAYS,76.47,65.49,N/A,N/A,11.44,N/A
IBIT,ISHARES BITCOIN TRUST ETF SHS BEN INT,0,334.4,SIDEWAYS,59.73,58.72,N/A,N/A,62.32,N/A
IBKR,INTERACTIVE BROKERS GROUP INC COM CL A,65.95,68.0,SIDEWAYS,67.65,56.88,18.7,9.54,4.76,N/A
IBM,INTERNATIONAL BUSINESS MACHS COM,307.99,23.7,UP,294.93,267.01,4.4,29.03,5.34,N/A
ICLN,ISHARES TR GL CLEAN ENE ETF,0,602.3,SIDEWAYS,16.61,13.76,N/A,N/A,3.61,N/A
IEF,ISHARES TR 7-10 YR TRSY BD,0,34.6,SIDEWAYS,96.43,95.43,N/A,N/A,9.12,N/A
IMSR,TERRESTRIAL ENERGY INC COM SHS,10.79,91.4,SIDEWAYS,15.55,12.25,-850013.2,N/A,2.46,N/A
INO,INOVIO PHARMACEUTICALS INC COM SHS,2.02,234.4,SIDEWAYS,2.24,1.99,761.12,-0.54,1.21,N/A
INOD,INNODATA INC COM NEW,58.35,82.6,SIDEWAYS,70.32,51.19,7.8,119.08,1.99,N/A
INTC,INTEL CORP COM,40.5,41.0,UP,37.48,26.02,3.62,41.75,113.32,N/A
INTU,INTUIT COM,663.08,26.1,SIDEWAYS,660.41,675.19,9.5,29.83,1.84,N/A
IONQ,IONQ INC COM,54.76,74.4,SIDEWAYS,59.2,42.22,243.0,-62.23,30.27,N/A
IOT,SAMSARA INC COM CL A,40.71,243.8,SIDEWAYS,38.31,39.55,16.37,156.58,5.22,N/A
IOVA,IOVANCE BIOTHERAPEUTICS INC COM,2.2,512.5,DOWN,2.23,2.63,3.49,-2.68,13.86,N/A
IP,INTERNATIONAL PAPER CO COM,39.13,41.8,DOWN,41.87,47.48,0.85,13.04,4.68,N/A
IQ,IQIYI INC SPONSORED ADS,2.04,209.4,SIDEWAYS,2.25,2.09,0.07,7.85,11.99,N/A
IREN,IREN LIMITED ORDINARY SHARES,46.45,76.6,SIDEWAYS,55.06,24.06,19.47,136.62,42.25,N/A
IRM,IRON MTN INC DEL COM,85.03,43.2,SIDEWAYS,98.14,94.96,3.79,43.38,1.79,N/A
ISRG,INTUITIVE SURGICAL INC COM NEW,568.63,39.5,UP,513.2,509.06,21.21,72.34,2.33,N/A
ITB,iShares U.S. Home Construction ETF,0,142.0,SIDEWAYS,101.92,98.99,N/A,N/A,2.37,N/A
IVV,ISHARES TR CORE S&P500 ETF,0,172.5,SIDEWAYS,675.24,620.0,N/A,N/A,7.56,N/A
IWM,ISHARES TR RUSSELL 2000 ETF,0,121.1,SIDEWAYS,243.54,220.77,N/A,N/A,41.99,N/A
IYR,ISHARES TR U.S. REAL ES ETF,0,680.3,SIDEWAYS,95.79,95.19,N/A,N/A,6.73,N/A
JBLU,JETBLUE AWYS CORP COM,4.65,53.1,SIDEWAYS,4.5,4.8,0.19,-7.27,20.15,N/A
JD,JD.COM INC SPON ADS CL A,29.74,31.3,DOWN,32.32,34.32,0.03,7.18,16.14,N/A
JETS,ETF SER SOLUTIONS US GLB JETS,0,328.9,SIDEWAYS,25.07,23.57,N/A,N/A,3.35,N/A
JMIA,JUMIA TECHNOLOGIES AG SPONSORED ADS,12.2,80.9,UP,11.26,6.1,8.62,-35.88,3.27,N/A
JNJ,JOHNSON & JOHNSON COM,202.48,15.9,UP,191.97,169.84,5.29,19.1,8.75,N/A
JOBY,JOBY AVIATION INC COMMON STOCK,15.76,64.8,SIDEWAYS,15.76,11.6,634.59,-26.27,40.24,N/A
JPM,JPMORGAN CHASE & CO. COM,316.1,19.1,UP,306.63,279.03,5.2,18.88,8.34,N/A
KEY,KEYCORP COM,19.11,24.6,UP,17.73,17.1,3.53,12.25,22.57,N/A
KGC,KINROSS GOLD CORP COM,27.34,38.7,UP,25.04,17.98,5.19,31.07,13.76,N/A
KHC,KRAFT HEINZ CO COM,24.59,32.0,DOWN,24.79,27.37,1.16,8.01,15.97,N/A
KKR,KKR & CO INC COM,128.43,35.0,SIDEWAYS,121.98,126.54,5.35,21.16,4.49,N/A
KMB,KIMBERLY-CLARK CORP COM,104.94,12.2,DOWN,113.15,129.1,1.77,13.75,4.64,N/A
KMI,KINDER MORGAN INC DEL COM,27.84,16.4,SIDEWAYS,26.95,27.28,3.77,22.1,13.89,N/A
KO,COCA COLA CO COM,70.45,15.7,SIDEWAYS,68.81,69.95,6.36,23.72,16.49,N/A
KOLD,PROSHARES TR II ULSHT BLOOMB GAS,0,443.0,SIDEWAYS,31.64,28.05,N/A,N/A,5.1,N/A
KOPN,KOPIN CORP COM,2.71,368.8,SIDEWAYS,2.98,1.94,10.48,-38.71,5.22,N/A
KR,KROGER CO COM,63.14,36.9,DOWN,66.19,68.12,0.28,13.79,6.92,N/A
KRE,SPDR SERIES TRUST STATE STREET SPD,0,783.4,SIDEWAYS,61.63,59.74,N/A,N/A,17.73,N/A
KSS,KOHLS CORP COM,22.58,52.3,UP,17.22,11.99,0.16,11.29,5.54,N/A
KTOS,KRATOS DEFENSE & SEC SOLUTIONS COM NEW,77.68,74.2,SIDEWAYS,84.25,54.81,10.21,131.66,4.13,N/A
KVUE,KENVUE INC COM,16.99,30.9,SIDEWAYS,15.92,20.57,2.17,13.93,42.65,N/A
KWEB,KRANESHARES TRUST CSI CHI INTERNET,0,270.3,SIDEWAYS,39.65,36.34,N/A,N/A,22.69,N/A
LABD,DIREXION SHS ETF TR DAILY S&P BIOTEC,0,398.4,SIDEWAYS,30.61,63.88,N/A,N/A,2.19,N/A
LABU,DIREXION SHS ETF TR DAILY S&P BIOTCH,0,720.3,SIDEWAYS,123.64,78.68,N/A,N/A,0.97,N/A
LAC,LITHIUM AMERS CORP NEW COM SHS,5.44,79.7,SIDEWAYS,6.14,3.67,N/A,-18.76,44.5,N/A
LAES,SEALSQ CORP ORD SHS,5.08,87.5,SIDEWAYS,5.29,3.64,82.79,N/A,31.8,N/A
LASE,LASER PHOTONICS CORP COM,2.92,126.6,SIDEWAYS,3.69,3.17,9.46,N/A,2.96,N/A
LAZR,LUMINAR TECHNOLOGIES INC COM NEW CL A,1.03,212.5,DOWN,1.56,3.14,1.06,-2.15,7.63,N/A
LCID,LUCID GROUP INC COM NEW,14.15,55.9,DOWN,18.06,22.07,4.3,-16.08,9.73,N/A
LDI,LOANDEPOT INC COM CL A,2.76,162.5,SIDEWAYS,2.95,2.0,0.87,14.53,10.01,N/A
LEN,LENNAR CORP CL A,126.75,28.6,UP,124.16,118.59,0.9,7.85,5.86,N/A
LEVI,LEVI STRAUSS & CO NEW CL A COM STK,22.19,68.8,UP,21.63,19.23,1.33,15.85,2.81,N/A
LHX,L3HARRIS TECHNOLOGIES INC COM,280.51,39.1,SIDEWAYS,288.93,254.08,2.41,19.49,1.11,N/A
LI,LI AUTO INC SPONSORED ADS,17.59,33.2,DOWN,21.26,25.22,0.14,11.42,4.8,N/A
LITE,LUMENTUM HLDGS INC COM,327.85,65.9,UP,212.58,119.92,12.62,88.85,4.2,N/A
LLY,ELI LILLY & CO COM,1014.49,24.0,UP,904.72,810.51,15.31,44.77,3.82,N/A
LMND,LEMONADE INC COM,76.8,64.8,UP,62.13,45.06,8.72,-30.6,2.72,N/A
LMT,LOCKHEED MARTIN CORP COM,448.35,21.6,SIDEWAYS,476.8,464.0,1.43,15.95,1.33,N/A
LNG,CHENIERE ENERGY INC COM NEW,207.9,60.3,DOWN,217.98,228.07,2.41,18.38,1.74,N/A
LOW,LOWES COS INC COM,246.17,23.5,UP,239.05,235.54,1.64,19.49,2.97,N/A
LQD,ISHARES TR IBOXX INV CP ETF,0,125.0,SIDEWAYS,110.8,109.26,N/A,N/A,32.97,N/A
LQDA,LIQUIDIA CORPORATION COM NEW,33.92,136.1,UP,25.86,19.57,42.63,-21.74,2.5,N/A
LRCX,LAM RESEARCH CORP COM NEW,157.09,42.1,UP,148.66,103.62,10.11,36.79,11.55,N/A
LULU,LULULEMON ATHLETICA INC COM,183.6,44.4,SIDEWAYS,172.87,237.29,2.02,12.3,4.89,N/A
LUMN,LUMEN TECHNOLOGIES INC COM,8.78,109.4,UP,8.11,5.28,0.71,-13.72,19.95,N/A
LUNR,INTUITIVE MACHINES INC CLASS A COM,11.4,69.9,UP,10.81,10.31,6.18,-81.43,7.23,N/A
LUV,SOUTHWEST AIRLS CO COM,35.81,31.6,UP,32.64,31.72,0.68,22.52,9.04,N/A
LVS,LAS VEGAS SANDS CORP COM,66.4,33.8,UP,58.76,48.47,3.72,24.15,5.65,N/A
LYFT,LYFT INC CL A COM,22.52,51.2,UP,21.14,16.21,1.46,22.75,19.65,N/A
M,MACYS INC COM,22.32,59.4,UP,19.37,14.51,0.26,8.65,8.07,N/A
MA,MASTERCARD INCORPORATED CL A,542.31,19.2,DOWN,557.3,559.96,15.58,33.11,2.76,N/A
MAGS,Roundhill Magnificent Seven ETF,0,202.1,SIDEWAYS,65.59,56.32,N/A,N/A,3.31,N/A
MANU,MANCHESTER UTD PLC NEW ORD CL A,15.7,243.8,SIDEWAYS,16.25,15.73,4.06,-29.07,0.42,N/A
MAR,MARRIOTT INTL INC NEW CL A,296.0,34.1,UP,276.5,263.65,11.69,27.92,1.51,N/A
MARA,MARA HOLDINGS INC COM,12.44,53.9,SIDEWAYS,16.47,15.51,5.12,311.0,55.59,N/A
MBLY,MOBILEYE GLOBAL INC COMMON CLASS A,11.83,54.7,DOWN,13.25,14.71,4.97,28.85,5.18,N/A
MCD,MCDONALDS CORP COM,308.54,16.9,SIDEWAYS,302.08,305.81,8.38,24.47,3.07,N/A
MCHP,MICROCHIP TECHNOLOGY INC. COM,64.72,38.2,SIDEWAYS,59.93,60.29,8.3,24.89,7.99,N/A
MCK,MCKESSON CORP COM,814.18,21.6,UP,810.68,721.16,0.26,22.12,0.74,N/A
MDB,MONGODB INC CL A,396.73,31.3,UP,338.39,247.72,13.94,122.45,1.91,N/A
MDLZ,MONDELEZ INTL INC CL A,55.8,48.2,DOWN,59.12,64.05,1.92,16.27,8.31,N/A
MDT,MEDTRONIC PLC SHS,101.99,21.1,UP,96.43,90.64,3.76,17.43,7.21,N/A
MELI,MERCADOLIBRE INC COM,2139.56,42.9,DOWN,2163.43,2275.12,4.14,44.22,0.53,N/A
META,META PLATFORMS INC CL A,661.53,22.9,SIDEWAYS,676.88,671.78,8.8,26.15,16.98,N/A
METU,DIREXION SHS ETF TR DAILY META BULL,0,132.8,SIDEWAYS,35.69,37.9,N/A,N/A,4.07,N/A
MLCO,MELCO RESORTS AND ENTMNT LTD ADR,8.83,95.3,UP,8.61,7.46,0.68,19.2,2.42,N/A
MMM,3M CO COM,169.27,18.6,UP,162.31,152.07,3.63,21.43,2.99,N/A
MNKD,MANNKIND CORP COM NEW,5.71,202.3,UP,5.38,4.74,5.59,33.59,4.13,N/A
MO,ALTRIA GROUP INC COM,58.34,28.0,SIDEWAYS,61.51,60.53,4.86,10.9,8.52,N/A
MP,MP MATERIALS CORP COM CL A,61.8,68.3,SIDEWAYS,66.95,46.68,47.06,515.0,14.8,N/A
MPW,MEDICAL PPTYS TRUST INC COM,5.61,51.6,UP,5.21,4.94,3.34,20.78,8.53,N/A
MRK,MERCK & CO INC COM,100.89,28.0,UP,89.87,84.69,3.92,10.73,13.14,N/A
MRNA,MODERNA INC COM,25.49,53.9,DOWN,25.79,27.74,4.46,-2.93,11.25,N/A
MRVL,MARVELL TECHNOLOGY INC COM,98.19,80.4,UP,87.35,74.01,10.86,39.28,20.1,N/A
MS,MORGAN STANLEY COM NEW,174.89,18.7,UP,161.61,139.57,4.07,22.05,5.71,N/A
MSFT,MICROSOFT CORP COM,480.84,17.0,SIDEWAYS,507.49,469.13,12.16,32.16,22.22,N/A
MSOS,ADVISORSHARES TR PURE US CANNABIS,0,2487.5,SIDEWAYS,4.36,3.42,N/A,N/A,9.93,N/A
MSTR,STRATEGY INC CL A NEW,186.01,56.0,DOWN,259.62,331.23,112.54,-432.58,14.62,N/A
MSTU,T-Rex 2X Long MSTR Daily Target ETF,0,0.0,SIDEWAYS,30.08,60.66,N/A,N/A,8.33,N/A
MSTX,TIDAL TRUST II DEF DLY TGT 2X L,0,5050.0,SIDEWAYS,13.81,28.27,N/A,N/A,15.74,N/A
MSTY,TIDAL TRUST II YIELDMAX MSTR OP,0,2000.0,SIDEWAYS,9.7,18.08,N/A,N/A,10.14,N/A
MSTZ,T-Rex 2X Inverse MSTR Daily Target ETF,0,5775.0,SIDEWAYS,8.19,7.9,N/A,N/A,22.34,N/A
MT,ARCELORMITTAL SA LUXEMBOURG NY REGISTRY SH,42.63,32.3,UP,39.31,33.26,0.53,10.63,1.32,N/A
MU,MICRON TECHNOLOGY INC COM,226.65,44.4,UP,212.45,132.45,6.82,17.61,26.56,N/A
MVIS,MICROVISION INC DEL COM NEW,0.923,193.8,DOWN,1.13,1.19,106.98,-2.25,6.02,N/A
NAIL,DBX ETF TR DALY HOM B&S BUL,0,401.6,SIDEWAYS,61.86,62.77,N/A,N/A,1.38,N/A
NAK,NORTHERN DYNASTY MINERALS LTD COM NEW,2.09,118.8,UP,1.8,1.22,N/A,-104.5,14.29,N/A
NB,NIOCORP DEVS LTD COM NEW,6.92,176.6,SIDEWAYS,7.24,4.05,N/A,-69.2,8.51,N/A
NBIS,NEBIUS GROUP N.V. SHS CLASS A,102.8,62.5,SIDEWAYS,109.57,61.9,71.25,-44.99,21.8,N/A
NCLH,NORWEGIAN CRUISE LINE HLDG LTD SHS,18.8,28.9,SIDEWAYS,21.27,21.12,0.88,9.0,16.29,N/A
NEE,NEXTERA ENERGY INC COM,83.39,26.8,UP,82.55,74.06,6.6,22.66,9.86,N/A
NEM,NEWMONT CORP COM,90.72,33.3,UP,86.49,64.99,4.63,23.69,11.46,N/A
NET,CLOUDFLARE INC CL A COM,204.15,41.1,SIDEWAYS,215.68,177.73,35.52,237.38,2.73,N/A
NFE,NEW FORTRESS ENERGY INC COM CL A,1.4,275.0,DOWN,1.61,4.08,0.23,1.26,21.41,N/A
NFLX,NETFLIX INC COM,103.22,28.1,SIDEWAYS,113.57,113.44,10.08,4.34,37.99,N/A
NIO,NIO INC SPON ADS,5.01,50.0,SIDEWAYS,6.66,5.03,0.17,-5.89,69.85,N/A
NKE,NIKE INC CL B,65.69,27.2,DOWN,65.8,68.0,2.09,20.34,14.98,N/A
NLY,ANNALY CAPITAL MANAGEMENT INC COM NEW,22.77,19.9,UP,21.33,20.46,8.9,8.28,7.43,N/A
NMAX,NEWSMAX INC COM SHS CLASS B,8.36,64.1,DOWN,10.09,17.54,5.85,-104.5,0.8,N/A
NN,NEXTNAV INC COMMON STOCK,15.49,66.8,SIDEWAYS,13.39,13.65,377.05,-30.37,1.36,N/A
NNE,NANO NUCLEAR ENERGY INC COM,36.57,82.4,SIDEWAYS,40.68,33.28,N/A,-36.57,3.55,N/A
NOK,NOKIA CORP SPONSORED ADR,6.16,48.4,UP,6.02,5.17,1.73,17.6,49.17,N/A
NOW,SERVICENOW INC COM,838.87,27.6,DOWN,883.8,915.55,13.78,50.23,1.42,N/A
NRG,NRG ENERGY INC COM NEW,169.36,56.1,UP,166.89,142.69,1.1,24.54,2.21,N/A
NSC,NORFOLK SOUTHN CORP COM,295.13,19.3,UP,287.74,261.25,5.41,21.73,1.45,N/A
NTAP,NETAPP INC COM,115.99,29.3,UP,115.0,105.49,3.49,15.3,2.1,N/A
NTR,NUTRIEN LTD COM,60.05,43.8,UP,57.77,56.6,1.14,15.89,2.67,N/A
NU,NU HLDGS LTD ORD SHS CL A,17.65,45.7,UP,15.86,13.36,13.45,28.47,40.41,N/A
NUGT,DIREXION SHS ETF TR DLY GOLD INDX 2X,0,413.9,SIDEWAYS,149.77,94.77,N/A,N/A,1.32,N/A
NVAX,NOVAVAX INC COM NEW,6.86,54.7,SIDEWAYS,7.91,7.44,1.05,-42.88,4.3,N/A
NVDA,NVIDIA CORPORATION COM,183.38,28.1,SIDEWAYS,187.0,154.31,23.86,44.51,191.74,N/A
NVDL,GRANITESHARES ETF TR 2X LONG NVDA DAI,0,621.9,SIDEWAYS,92.28,68.99,N/A,N/A,13.78,N/A
NVDX,T-Rex 2X Long NVIDIA Daily Target ETF,0,1167.2,SIDEWAYS,18.76,14.18,N/A,N/A,12.43,N/A
NVO,NOVO-NORDISK A S ADR,47.99,35.6,DOWN,52.08,63.28,0.68,11.79,16.72,N/A
NVTS,NAVITAS SEMICONDUCTOR CORP COM,9.45,71.1,SIDEWAYS,9.95,6.0,38.49,-45.0,40.12,N/A
NXPI,NXP SEMICONDUCTORS N V COM,226.16,47.8,UP,211.17,210.63,4.73,17.3,2.63,N/A
OKLO,OKLO INC COM CL A,111.65,89.3,SIDEWAYS,120.94,68.67,N/A,-286.28,19.61,N/A
OKTA,OKTA INC CL A,85.9,39.4,DOWN,87.09,97.74,5.36,29.62,2.47,N/A
ON,ON SEMICONDUCTOR CORP COM,54.79,62.4,UP,49.85,48.19,3.62,12.68,8.79,N/A
ONDS,ONDAS HLDGS INC COM NEW,9.19,110.2,UP,7.77,3.55,138.34,-36.76,76.61,N/A
ONON,ON HLDG AG NAMEN AKT A,46.51,49.2,SIDEWAYS,41.37,47.17,5.34,42.28,7.08,N/A
OPAD,OFFERPAD SOLUTIONS INC COM CL A,1.98,187.5,SIDEWAYS,2.63,2.07,0.12,-1.74,4.43,N/A
OPEN,OPENDOOR TECHNOLOGIES INC COM,7.58,72.7,SIDEWAYS,7.69,3.47,1.53,-28.07,203.77,N/A
ORCL,ORACLE CORP COM,214.33,38.2,SIDEWAYS,256.0,211.5,10.35,29.93,27.38,N/A
OSCR,OSCAR HEALTH INC CL A,17.18,59.8,SIDEWAYS,18.06,16.03,0.44,30.68,17.14,N/A
OUST,OUSTER INC COM NEW,25.99,82.0,SIDEWAYS,27.73,20.21,11.36,-12.74,2.79,N/A
OWL,BLUE OWL CAPITAL INC COM CL A,16.06,56.6,SIDEWAYS,15.61,18.32,9.14,17.27,13.42,N/A
OXY,OCCIDENTAL PETE CORP COM,42.67,23.6,SIDEWAYS,42.58,43.87,1.58,13.5,10.16,N/A
PAA,PLAINS ALL AMERN PIPELINE L P UNIT LTD PARTN,17.77,36.7,SIDEWAYS,16.59,17.78,0.27,12.78,2.84,N/A
PAAS,PAN AMERN SILVER CORP COM,44.2,45.7,UP,38.45,30.59,5.73,23.76,6.57,N/A
PANW,PALO ALTO NETWORKS INC COM,195.68,20.8,SIDEWAYS,206.39,192.1,14.01,27.18,5.58,N/A
PATH,UIPATH INC CL A,18.48,77.0,UP,14.77,12.56,6.61,42.0,23.44,N/A
PBR,PETROLEO BRASILEIRO SA PETROBR SPONSORED ADR,12.88,19.5,SIDEWAYS,12.36,12.5,0.17,4.34,22.24,N/A
PCG,PG&E CORP COM,15.33,25.4,SIDEWAYS,16.04,15.74,1.36,10.36,25.3,N/A
PCT,PURECYCLE TECHNOLOGIES INC COM,9.63,126.2,SIDEWAYS,11.46,10.97,306.59,-16.05,3.32,N/A
PDD,PDD HOLDINGS INC SPONSORED ADS,116.82,24.8,SIDEWAYS,128.89,117.07,0.4,8.29,8.15,N/A
PEP,PEPSICO INC COM,146.91,10.2,UP,146.41,142.38,2.18,17.02,7.2,N/A
PFE,PFIZER INC COM,25.7,21.1,UP,24.81,24.56,2.33,8.77,68.37,N/A
PG,PROCTER AND GAMBLE CO COM,145.36,28.3,DOWN,148.93,158.81,4.01,19.59,8.15,N/A
PGR,PROGRESSIVE CORP COM,227.09,37.2,SIDEWAYS,226.56,254.73,1.56,16.46,3.43,N/A
PHM,PULTE GROUP INC COM,127.89,51.7,UP,123.48,113.71,1.43,9.47,2.1,N/A
PINS,PINTEREST INC CL A,27.23,33.6,DOWN,30.02,32.67,4.56,15.13,12.99,N/A
PL,PLANET LABS PBC COM CL A,12.94,85.9,SIDEWAYS,13.02,7.28,15.18,-117.64,12.66,N/A
PLTR,PALANTIR TECHNOLOGIES INC CL A,177.92,33.4,SIDEWAYS,179.18,141.36,108.84,378.55,54.1,N/A
PLUG,PLUG POWER INC COM NEW,2.23,118.8,SIDEWAYS,2.75,1.71,4.59,-3.91,130.99,N/A
PM,PHILIP MORRIS INTL INC COM,148.58,25.0,DOWN,154.81,164.09,5.78,20.64,6.39,N/A
PNC,PNC FINL SVCS GROUP INC COM,198.27,23.6,UP,187.56,183.74,3.57,13.21,1.91,N/A
POET,POET TECHNOLOGIES INC COM NEW,6.37,109.4,UP,6.2,5.09,1100.54,-21.23,10.49,N/A
PONY,PONY AI INC SPONSORED ADS,14.6,109.0,SIDEWAYS,17.71,14.61,71.86,-24.88,7.43,N/A
PPG,PPG INDS INC COM,100.67,25.3,SIDEWAYS,99.45,107.85,1.45,11.38,1.98,N/A
PSKY,PARAMOUNT SKYDANCE CORP COM CL B,14.82,68.4,SIDEWAYS,16.57,13.67,0.57,14.36,8.54,N/A
PSQH,PSQ HOLDINGS INC CL A,1.48,78.1,DOWN,1.84,2.08,2.49,-0.99,1.3,N/A
