Ticker,Name,Price,IV %,Trend,P/S,Fwd P/E,Avg Vol (M),Earnings
BABA,ALIBABA GROUP HLDG LTD SPONSORED ADS,157.05,1.6,UP,0.37,16.79,16.44,N/A
BAC,BANK AMERICA CORP COM,54.65,0.0,UP,3.99,12.52,35.65,N/A
BAX,BAXTER INTL INC COM,19.155,0.0,DOWN,0.89,8.3,7.6,N/A
BB,BLACKBERRY LTD COM,4.3399,25.0,UP,4.83,27.12,10.1,N/A
BBAI,BIGBEAR AI HLDGS INC COM,6.6757,0.0,UP,20.21,-33.38,124.77,N/A
BBWI,BATH & BODY WORKS INC COM,20.18,0.0,DOWN,0.57,7.33,8.08,N/A
BBY,BEST BUY INC COM,75.98,0.4,UP,0.38,11.26,3.69,N/A
BE,BLOOM ENERGY CORP COM CL A,104.52,3.1,UP,13.59,98.48,15.2,N/A
BEKE,KE HLDGS INC SPONSORED ADS,17.34,6.3,DOWN,0.2,19.39,5.1,N/A
BHC,BAUSCH HEALTH COS INC COM,6.956,6.3,UP,0.26,1.66,2.4,N/A
BIDU,BAIDU INC SPON ADR REP A,125.97,0.2,UP,0.34,15.44,4.82,N/A
BIIB,BIOGEN INC COM,172.49,0.1,UP,2.51,11.34,1.82,N/A
BILI,BILIBILI INC SPONS ADS REP Z,24.93,3.1,UP,0.34,22.3,2.64,N/A
BILL,BILL HOLDINGS INC COM,54.8154,3.1,UP,3.67,21.38,2.7,N/A
BITF,BITFARMS LTD COM,2.97,12.5,UP,6.42,-74.25,95.72,N/A
BITO,PROSHARES TR BITCOIN ETF,0,0.0,Down,0,0,25.92,N/A
BITX,2x Bitcoin Strategy ETF,0,0.0,Down,0,0,10.52,N/A
BKKT,BAKKT HOLDINGS INC COM CL A NEW,12.78,50.0,DOWN,0.08,13.31,2.79,N/A
BKNG,BOOKING HOLDINGS INC COM,5316.48,0.4,UP,6.62,20.03,0.27,N/A
BKSY,BLACKSKY TECHNOLOGY INC CL A NEW,19.19,0.0,UP,6.79,-17.85,2.01,N/A
BLK,BLACKROCK INC COM,1103.53,0.8,UP,7.48,20.52,0.65,N/A
BLSH,BULLISH ORD SHS,46.25,0.0,DOWN,35.06,68.86,3.21,N/A
BMNR,BITMINE IMMERSION TECNOLOGIES COM NEW,38.0425,0.0,DOWN,2657.93,0,46.71,N/A
BMY,BRISTOL-MYERS SQUIBB CO COM,52.77,3.1,UP,2.24,8.79,16.51,N/A
BOIL,PROSHARES TR II ULTRA BLOOMBERG,0,0.0,Down,0,0,7.83,N/A
BP,BP PLC SPONSORED ADR,35.33,3.1,UP,0.48,12.03,6.61,N/A
BROS,DUTCH BROS INC CL A,62.26,0.0,UP,6.67,69.54,3.94,N/A
BRR,PROCAP FINL INC COM SHS,3.77,50.0,DOWN,0,0,0.82,N/A
BSX,BOSTON SCIENTIFIC CORP COM,93.2972,0.0,DOWN,7.15,26.92,9.92,N/A
BTBT,BIT DIGITAL INC SHS,2.458,12.5,DOWN,7.53,N/A,37.76,N/A
BTDR,BITDEER TECHNOLOGIES GROUP CL A ORD SHS,11.72,0.0,DOWN,5.6,16.37,8.28,N/A
BTG,B2GOLD CORP COM,4.75,0.0,UP,2.53,6.28,48.27,N/A
BTU,PEABODY ENERGY CORP COM,29.69,0.0,UP,0.91,11.42,4.65,N/A
BUD,ANHEUSER BUSCH INBEV SA/NV SPONSORED ADR,63.72,3.1,DOWN,2.13,15.23,2.1,N/A
BULL,WEBULL CORP ORD SHS,9.8702,12.5,DOWN,9.62,54.83,23.69,N/A
BURL,BURLINGTON STORES INC COM,270.665,0.0,UP,1.52,24.41,1.07,N/A
BX,BLACKSTONE INC COM,154.265,3.1,UP,14.8,24.04,4.15,N/A
BYND,BEYOND MEAT INC COM,1.19,0.0,DOWN,1.86,-2.5,199.08,N/A
C,CITIGROUP INC COM NEW,112.415,0.0,UP,2.75,11.44,12.83,N/A
CAG,CONAGRA BRANDS INC COM,17.795,6.3,DOWN,0.74,9.59,11.1,N/A
CAH,CARDINAL HEALTH INC COM,198.18,0.0,UP,0.2,17.88,2.49,N/A
CAR,AVIS BUDGET GROUP COM,136.365,0.0,UP,0.41,17.33,0.79,N/A
CART,MAPLEBEAR INC COM,45.015,0.0,UP,3.26,11.46,6.35,N/A
CAT,CATERPILLAR INC COM,624.5251,0.4,UP,4.52,28.01,2.87,N/A
CAVA,CAVA GROUP INC COM,55.23,0.0,DOWN,5.66,94.68,4.33,N/A
CBOE,"Cboe Global Markets, Inc.",253.39,0.0,UP,5.74,23.31,0.77,N/A
CC,CHEMOURS CO COM,13.365,6.3,UP,0.34,7.46,2.93,N/A
CCCX,CHURCHILL CAP CORP X SHS CL A,15.1,0.0,UP,0,0,4.63,N/A
CCJ,CAMECO CORP COM,94.955,0.4,UP,11.97,66.69,5.22,N/A
CCL,CARNIVAL CORP PAIRED CTF,27.995,0.4,UP,1.45,11.61,22.5,N/A
CDE,COEUR MNG INC COM NEW,18.005,0.0,UP,6.8,12.52,17.43,N/A
CDNS,CADENCE DESIGN SYSTEM INC COM,331.53,1.6,UP,17.33,41.18,1.76,N/A
CEG,CONSTELLATION ENERGY CORP COM,376.945,0.8,UP,4.74,33.29,2.6,N/A
CELH,CELSIUS HLDGS INC COM NEW,44.445,0.8,DOWN,5.39,28.54,6.37,N/A
CF,CF INDS HLDGS INC COM,79.4547,0.0,DOWN,1.91,10.93,2.49,N/A
CGC,CANOPY GROWTH CORP COM NEW,1.3955,50.0,UP,1.85,21.38,22.75,N/A
CHPT,CHARGEPOINT HOLDINGS INC COM SHS,9.235,0.0,DOWN,0.54,-2.56,0.5,N/A
CHTR,CHARTER COMMUNICATIONS INC NEW CL A,213.84,3.1,DOWN,0.53,4.99,1.97,N/A
CHWY,CHEWY INC CL A,33.6365,0.0,DOWN,1.11,21.59,7.31,N/A
CI,THE CIGNA GROUP COM,274.6685,0.8,DOWN,0.27,8.96,1.96,N/A
CIEN,CIENA CORP COM NEW,230.145,0.0,UP,7.15,33.71,3.0,N/A
CIFR,CIPHER MINING INC COM,18.68,0.0,UP,35.75,38.12,50.32,N/A
CL,COLGATE PALMOLIVE CO COM,77.9,1.6,DOWN,3.13,20.28,6.68,N/A
CLF,CLEVELAND-CLIFFS INC NEW COM,13.255,12.5,UP,0.41,43.44,27.34,N/A
CLOV,CLOVER HEALTH INVESTMENTS CORP COM CL A,2.7601,50.0,DOWN,0.8,46.0,8.78,N/A
CLS,CELESTICA INC COM,326.71,1.6,UP,3.33,39.0,2.98,N/A
CLSK,CLEANSPARK INC COM NEW,15.16,0.0,UP,5.29,94.75,36.2,N/A
CMCSA,COMCAST CORP NEW CL A,27.8,6.3,DOWN,0.83,6.68,31.27,N/A
CME,CME GROUP INC COM,272.75,0.0,UP,15.4,23.37,1.9,N/A
CMG,CHIPOTLE MEXICAN GRILL INC COM,35.8082,3.1,DOWN,4.07,29.32,22.46,N/A
CNC,CENTENE CORP DEL COM,41.685,0.0,DOWN,0.12,14.41,9.94,N/A
CNQ,CANADIAN NAT RES LTD COM,32.84,3.1,UP,1.77,13.8,7.21,N/A
COF,CAPITAL ONE FINL CORP COM,240.2775,0.0,UP,5.32,11.56,3.79,N/A
