Ticker,Name,Price,IV %,Trend,P/S,Fwd P/E,Avg Vol (M),Earnings
HUM,HUMANA INC COM,272.5725,0.0,UP,0.26,21.72,1.81,N/A
HUT,HUT 8 CORP COM,45.53,0.0,UP,27.59,-77.17,7.42,N/A
HWM,HOWMET AEROSPACE INC COM,200.65,0.0,UP,10.13,45.22,2.13,N/A
HYG,ISHARES TR IBOXX HI YD ETF,0,0.0,Down,0,1343.92,42.98,N/A
IAU,ISHARES GOLD TR ISHARES NEW,0,0.0,Down,0,0,11.43,N/A
IBIT,ISHARES BITCOIN TRUST ETF SHS BEN INT,0,0.0,Down,0,0,63.15,N/A
IBKR,INTERACTIVE BROKERS GROUP INC COM CL A,65.335,1.6,UP,18.52,27.73,4.53,N/A
IBM,INTERNATIONAL BUSINESS MACHS COM,310.65,0.0,UP,4.44,25.51,5.2,N/A
ICLN,ISHARES TR GL CLEAN ENE ETF,0,0.0,Down,0,0,3.47,N/A
IEF,ISHARES TR 7-10 YR TRSY BD,0,0.0,Down,0,0,8.87,N/A
INO,INOVIO PHARMACEUTICALS INC COM SHS,2.1386,0.0,UP,805.81,-1.43,1.14,N/A
INOD,INNODATA INC COM NEW,53.22,0.0,UP,7.11,41.58,1.7,N/A
INTC,INTEL CORP COM,39.9165,1.6,UP,3.56,67.03,116.22,N/A
INTU,INTUIT COM,679.16,0.8,UP,9.73,25.73,1.85,N/A
IONQ,IONQ INC COM,52.04,0.0,UP,230.93,-40.93,29.79,N/A
IOT,SAMSARA INC COM CL A,42.54,0.0,UP,16.14,72.8,5.05,N/A
IOVA,IOVANCE BIOTHERAPEUTICS INC COM,2.23,0.0,DOWN,3.53,-3.65,13.76,N/A
IP,INTERNATIONAL PAPER CO COM,39.13,0.0,DOWN,0.85,16.91,4.81,N/A
IQ,IQIYI INC SPONSORED ADS,2.065,0.0,DOWN,0.07,16.96,11.33,N/A
IREN,IREN LIMITED ORDINARY SHARES,43.4984,0.8,UP,18.23,51.94,42.05,N/A
IRM,IRON MTN INC DEL COM,88.13,0.0,DOWN,3.92,38.95,1.81,N/A
ISRG,INTUITIVE SURGICAL INC COM NEW,546.1,0.0,UP,20.37,56.14,2.25,N/A
ITB,iShares U.S. Home Construction ETF,0,0.0,Down,0,0,2.38,N/A
IVV,ISHARES TR CORE S&P500 ETF,0,0.0,Down,0,0,7.96,N/A
IWM,ISHARES TR RUSSELL 2000 ETF,0,0.0,Down,0,0,41.84,N/A
IYR,ISHARES TR U.S. REAL ES ETF,0,0.0,Down,0,0,6.65,N/A
JBLU,JETBLUE AWYS CORP COM,4.885,25.0,UP,0.2,-4.66,19.86,N/A
JD,JD.COM INC SPON ADS CL A,29.8,6.3,DOWN,0.03,8.25,14.8,N/A
JETS,ETF SER SOLUTIONS US GLB JETS,0,0.0,Down,0,0,3.28,N/A
JMIA,JUMIA TECHNOLOGIES AG SPONSORED ADS,12.548,0.0,UP,8.87,-36.91,3.2,N/A
JNJ,JOHNSON & JOHNSON COM,210.56,0.0,UP,5.51,18.26,8.89,N/A
JOBY,JOBY AVIATION INC COMMON STOCK,15.77,12.5,UP,634.99,-20.74,38.36,N/A
JPM,JPMORGAN CHASE & CO. COM,319.08,1.6,UP,5.25,14.99,8.69,N/A
KEY,KEYCORP COM,20.555,0.0,UP,3.8,11.58,21.78,N/A
KGC,KINROSS GOLD CORP COM,29.089,0.0,UP,5.52,11.84,13.06,N/A
KHC,KRAFT HEINZ CO COM,24.57,0.0,DOWN,1.16,9.75,15.72,N/A
KKR,KKR & CO INC COM,141.065,0.0,UP,5.87,20.93,4.65,N/A
KMB,KIMBERLY-CLARK CORP COM,103.48,0.0,DOWN,1.74,13.54,4.97,N/A
KMI,KINDER MORGAN INC DEL COM,26.965,1.6,DOWN,3.65,19.42,14.05,N/A
KO,COCA COLA CO COM,69.6006,3.1,DOWN,6.28,21.62,16.58,N/A
KOLD,PROSHARES TR II ULSHT BLOOMB GAS,0,0.0,Down,0,0,5.84,N/A
KOPN,KOPIN CORP COM,2.705,0.0,UP,10.46,270.5,4.98,N/A
KR,KROGER CO COM,62.22,0.0,DOWN,0.27,11.75,7.0,N/A
KRE,SPDR SERIES TRUST STATE STREET SPD,0,0.0,Down,0,0,17.76,N/A
KSS,KOHLS CORP COM,24.0102,0.0,UP,0.17,18.28,5.49,N/A
KTOS,KRATOS DEFENSE & SEC SOLUTIONS COM NEW,78.48,0.0,UP,10.31,103.91,4.06,N/A
KVUE,KENVUE INC COM,17.395,6.3,DOWN,2.22,15.72,41.21,N/A
KWEB,KRANESHARES TRUST CSI CHI INTERNET,0,0.0,Down,0,0,21.73,N/A
LABD,DIREXION SHS ETF TR DAILY S&P BIOTEC,0,0.0,Down,0,0,2.3,N/A
LABU,DIREXION SHS ETF TR DAILY S&P BIOTCH,0,0.0,Down,0,0,0.93,N/A
LAC,LITHIUM AMERS CORP NEW COM SHS,5.3103,25.0,UP,0,-13.03,45.01,N/A
LAES,SEALSQ CORP ORD SHS,4.63,0.0,UP,75.45,0,32.07,N/A
LASE,LASER PHOTONICS CORP COM,2.9417,0.0,DOWN,9.53,0,2.89,N/A
LAZR,LUMINAR TECHNOLOGIES INC COM NEW CL A,0.9789,25.0,DOWN,1.01,-0.44,8.05,N/A
LCID,LUCID GROUP INC COM NEW,13.12,0.0,DOWN,3.99,-2.03,9.19,N/A
LDI,LOANDEPOT INC COM CL A,2.7,0.0,UP,0.85,17.2,7.54,N/A
LEN,LENNAR CORP CL A,119.53,3.1,UP,0.85,13.47,6.03,N/A
LEVI,LEVI STRAUSS & CO NEW CL A COM STK,22.19,0.0,UP,1.33,15.07,2.81,N/A
LHX,L3HARRIS TECHNOLOGIES INC COM,290.91,0.0,UP,2.5,23.44,1.12,N/A
LI,LI AUTO INC SPONSORED ADS,17.37,6.3,DOWN,0.14,19.93,4.82,N/A
LITE,LUMENTUM HLDGS INC COM,350.7,0.0,UP,13.5,42.85,4.2,N/A
LLY,ELI LILLY & CO COM,1011.705,0.0,UP,15.26,31.22,3.84,N/A
LMND,LEMONADE INC COM,81.05,0.0,UP,9.2,-51.62,2.8,N/A
LMT,LOCKHEED MARTIN CORP COM,472.14,0.4,UP,1.5,16.22,1.34,N/A
LNG,CHENIERE ENERGY INC COM NEW,193.0699,12.5,DOWN,2.24,13.45,1.83,N/A
LOW,LOWES COS INC COM,248.77,3.1,UP,1.66,19.14,3.0,N/A
LQD,ISHARES TR IBOXX INV CP ETF,0,57.5,Down,0,0,33.2,N/A
LQDA,LIQUIDIA CORPORATION COM NEW,33.46,1.6,UP,42.05,15.88,2.42,N/A
LRCX,LAM RESEARCH CORP COM NEW,167.18,0.8,UP,10.76,29.9,11.34,N/A
LULU,LULULEMON ATHLETICA INC COM,210.98,0.0,DOWN,2.32,16.2,4.08,N/A
LUMN,LUMEN TECHNOLOGIES INC COM,8.9,6.3,UP,0.72,-19.42,19.19,N/A
LUNR,INTUITIVE MACHINES INC CLASS A COM,12.715,0.0,UP,6.9,3363.76,7.39,N/A
LUV,SOUTHWEST AIRLS CO COM,41.655,0.0,UP,0.79,15.73,9.57,N/A
LVS,LAS VEGAS SANDS CORP COM,65.615,3.1,UP,3.67,20.64,5.56,N/A
LYFT,LYFT INC CL A COM,20.64,0.0,UP,1.34,13.88,18.82,N/A
M,MACYS INC COM,24.12,0.0,UP,0.28,10.91,7.77,N/A
MA,MASTERCARD INCORPORATED CL A,569.79,0.2,UP,16.37,29.83,2.79,N/A
MAGS,Roundhill Magnificent Seven ETF,0,0.0,Down,0,0,3.29,N/A
MANU,MANCHESTER UTD PLC NEW ORD CL A,15.68,0.0,DOWN,4.06,39.7,0.44,N/A
MAR,MARRIOTT INTL INC NEW CL A,296.98,0.8,UP,11.73,26.07,1.57,N/A
MARA,MARA HOLDINGS INC COM,12.095,0.0,DOWN,4.98,-44.8,53.23,N/A
MBLY,MOBILEYE GLOBAL INC COMMON CLASS A,11.54,0.0,DOWN,4.85,28.36,5.12,N/A
MCD,MCDONALDS CORP COM,312.87,0.0,UP,8.5,23.66,3.18,N/A
MCHP,MICROCHIP TECHNOLOGY INC. COM,69.375,0.0,UP,8.9,27.79,8.33,N/A
MCK,MCKESSON CORP COM,820.49,0.0,UP,0.26,18.72,0.76,N/A
MDB,MONGODB INC CL A,419.35,0.8,UP,14.73,75.57,1.92,N/A
MDLZ,MONDELEZ INTL INC CL A,54.08,0.0,DOWN,1.86,17.12,8.9,N/A
MDT,MEDTRONIC PLC SHS,99.7509,1.6,UP,3.68,16.32,7.17,N/A
MELI,MERCADOLIBRE INC COM,2040.95,0.0,DOWN,3.95,33.45,0.54,N/A
META,META PLATFORMS INC CL A,646.825,0.8,DOWN,8.61,21.47,17.69,N/A
METU,DIREXION SHS ETF TR DAILY META BULL,0,0.0,Down,0,0,4.47,N/A
MLCO,MELCO RESORTS AND ENTMNT LTD ADR,8.33,50.0,UP,0.64,11.24,2.35,N/A
MMM,3M CO COM,169.39,1.6,UP,3.63,19.6,3.02,N/A
MNKD,MANNKIND CORP COM NEW,5.915,N/A,UP,5.79,40.33,3.98,N/A
MO,ALTRIA GROUP INC COM,58.48,0.0,DOWN,4.87,10.47,8.41,N/A
MP,MP MATERIALS CORP COM CL A,59.215,0.0,UP,45.09,79.47,14.69,N/A
MPW,MEDICAL PPTYS TRUST INC COM,5.18,0.0,UP,3.09,43.17,8.16,N/A
MRK,MERCK & CO INC COM,99.515,3.1,UP,3.87,11.81,13.45,N/A
MRNA,MODERNA INC COM,30.085,0.0,UP,5.27,-4.29,10.87,N/A
MRVL,MARVELL TECHNOLOGY INC COM,88.21,0.0,UP,9.76,24.66,20.56,N/A
MS,MORGAN STANLEY COM NEW,180.66,0.0,UP,4.21,17.25,5.74,N/A
MSFT,MICROSOFT CORP COM,479.52,0.4,UP,12.13,25.61,22.46,N/A
MSOS,ADVISORSHARES TR PURE US CANNABIS,0,0.0,Down,0,0,9.45,N/A
MSTR,STRATEGY INC CL A NEW,183.8105,3.1,DOWN,111.21,2.37,15.6,N/A
MSTU,T-Rex 2X Long MSTR Daily Target ETF,0,0.0,Down,0,0,9.12,N/A
MSTX,TIDAL TRUST II DEF DLY TGT 2X L,0,0.0,Down,0,0,18.99,N/A
MSTY,TIDAL TRUST II YIELDMAX MSTR OP,0,0.0,Down,0,0,2.18,N/A
MSTZ,T-Rex 2X Inverse MSTR Daily Target ETF,0,0.0,Down,0,0,20.95,N/A
MT,ARCELORMITTAL SA LUXEMBOURG NY REGISTRY SH,46.47,0.0,UP,0.58,9.44,1.32,N/A
MU,MICRON TECHNOLOGY INC COM,249.245,1.6,UP,7.5,11.59,25.67,N/A
MVIS,MICROVISION INC DEL COM NEW,0.9903,12.5,DOWN,114.78,-5.21,5.97,N/A
NAIL,DBX ETF TR DALY HOM B&S BUL,0,0.0,Down,0,0,1.34,N/A
NAK,NORTHERN DYNASTY MINERALS LTD COM NEW,2.1899,0.0,UP,0,-75.5,14.82,N/A
NB,NIOCORP DEVS LTD COM NEW,6.53,0.0,UP,0,-18.66,8.69,N/A
NBIS,NEBIUS GROUP N.V. SHS CLASS A,93.3115,0.0,UP,64.68,-40.84,19.31,N/A
NCLH,NORWEGIAN CRUISE LINE HLDG LTD SHS,21.16,0.0,UP,0.99,7.98,15.87,N/A
NEE,NEXTERA ENERGY INC COM,81.94,0.8,UP,6.49,20.46,10.17,N/A
NEM,NEWMONT CORP COM,101.42,0.0,UP,5.18,13.13,11.4,N/A
NET,CLOUDFLARE INC CL A COM,206.01,0.0,UP,35.84,175.09,2.71,N/A
NFE,NEW FORTRESS ENERGY INC COM CL A,1.35,50.0,DOWN,0.22,-0.74,20.91,N/A
NFLX,NETFLIX INC COM,96.264,1.6,DOWN,9.4,29.68,42.26,N/A
NIO,NIO INC SPON ADS,5.227,0.0,UP,0.18,-10.89,63.75,N/A
NKE,NIKE INC CL B,68.725,3.1,UP,2.19,27.58,15.15,N/A
NLY,ANNALY CAPITAL MANAGEMENT INC COM NEW,22.485,0.8,UP,8.79,7.56,7.25,N/A
NMAX,NEWSMAX INC COM SHS CLASS B,10.09,0.0,DOWN,7.05,-126.13,0.81,N/A
NN,NEXTNAV INC COMMON STOCK,16.747,0.0,UP,407.65,-29.64,1.32,N/A
NNE,NANO NUCLEAR ENERGY INC COM,38.1,0.0,UP,0,-29.77,3.54,N/A
NOK,NOKIA CORP SPONSORED ADR,6.335,25.0,UP,1.78,16.45,48.26,N/A
NOW,SERVICENOW INC COM,872.445,0.0,DOWN,14.34,42.78,1.42,N/A
NRG,NRG ENERGY INC COM NEW,170.47,0.0,UP,1.11,18.2,2.15,N/A
NSC,NORFOLK SOUTHN CORP COM,295.16,0.0,UP,5.42,22.48,1.42,N/A
NTAP,NETAPP INC COM,118.48,0.0,UP,3.56,13.86,2.05,N/A
NTR,NUTRIEN LTD COM,61.855,1.6,UP,1.17,13.54,2.65,N/A
NU,NU HLDGS LTD ORD SHS CL A,16.885,6.3,UP,12.86,18.55,39.57,N/A
NUGT,DIREXION SHS ETF TR DLY GOLD INDX 2X,0,0.0,Down,0,0,1.29,N/A
NVAX,NOVAVAX INC COM NEW,6.685,0.0,DOWN,1.02,-14.8,4.17,N/A
NVDA,NVIDIA CORPORATION COM,181.3,3.1,UP,23.59,24.29,191.05,N/A
NVDL,GRANITESHARES ETF TR 2X LONG NVDA DAI,0,0.0,Down,0,0,13.65,N/A
NVDX,T-Rex 2X Long NVIDIA Daily Target ETF,0,0.0,Down,0,0,12.3,N/A
NVO,NOVO-NORDISK A S ADR,50.595,6.3,DOWN,0.71,14.64,16.78,N/A
NVTS,NAVITAS SEMICONDUCTOR CORP COM,9.135,0.0,UP,37.2,-45.27,40.01,N/A
NXPI,NXP SEMICONDUCTORS N V COM,234.33,1.6,UP,4.9,17.04,2.65,N/A
OKLO,OKLO INC COM CL A,98.5195,3.1,UP,0,-157.54,19.52,N/A
OKTA,OKTA INC CL A,91.22,0.0,DOWN,5.69,24.68,2.47,N/A
ON,ON SEMICONDUCTOR CORP COM,56.21,0.0,UP,3.72,19.27,8.98,N/A
ONDS,ONDAS HLDGS INC COM NEW,8.94,6.3,UP,134.58,-77.74,79.27,N/A
ONON,ON HLDG AG NAMEN AKT A,49.5,0.0,UP,5.68,29.18,7.02,N/A
OPAD,OFFERPAD SOLUTIONS INC COM CL A,1.94,25.0,DOWN,0.11,-3.55,3.0,N/A
OPEN,OPENDOOR TECHNOLOGIES INC COM,7.095,0.0,UP,1.43,-33.38,159.39,N/A
ORCL,ORACLE CORP COM,193.825,3.1,DOWN,9.06,24.29,25.94,N/A
OSCR,OSCAR HEALTH INC CL A,16.465,1.6,UP,0.42,-174.27,16.29,N/A
OUST,OUSTER INC COM NEW,25.555,0.0,UP,11.17,-60.85,2.7,N/A
OWL,BLUE OWL CAPITAL INC COM CL A,16.135,0.0,DOWN,9.19,16.34,13.87,N/A
OXY,OCCIDENTAL PETE CORP COM,41.32,3.1,DOWN,1.53,25.56,10.33,N/A
PAA,PLAINS ALL AMERN PIPELINE L P UNIT LTD PARTN,17.7799,6.3,UP,0.27,10.29,2.88,N/A
PAAS,PAN AMERN SILVER CORP COM,52.145,0.0,UP,6.76,14.36,6.6,N/A
PANW,PALO ALTO NETWORKS INC COM,192.315,0.8,UP,13.76,44.29,5.52,N/A
PATH,UIPATH INC CL A,17.81,6.3,UP,6.13,23.51,25.64,N/A
PBR,PETROLEO BRASILEIRO SA PETROBR SPONSORED ADR,12.2993,12.5,DOWN,0.16,4.85,22.23,N/A
PCG,PG&E CORP COM,15.105,0.0,DOWN,1.34,9.26,23.67,N/A
PCT,PURECYCLE TECHNOLOGIES INC COM,9.44,6.3,DOWN,300.54,-12.93,3.44,N/A
PDD,PDD HOLDINGS INC SPONSORED ADS,112.172,0.0,DOWN,0.38,9.09,8.09,N/A
PEP,PEPSICO INC COM,148.901,0.4,UP,2.21,17.38,7.41,N/A
PFE,PFIZER INC COM,25.855,3.1,UP,2.34,8.44,68.1,N/A
PG,PROCTER AND GAMBLE CO COM,141.711,1.6,DOWN,3.91,19.21,8.79,N/A
PGR,PROGRESSIVE CORP COM,231.91,1.6,DOWN,1.6,14.26,3.46,N/A
PHM,PULTE GROUP INC COM,127.21,0.0,UP,1.42,11.6,2.05,N/A
PINS,PINTEREST INC CL A,26.715,0.0,DOWN,4.48,13.78,13.26,N/A
PL,PLANET LABS PBC COM CL A,18.21,0.0,UP,20.22,-259.73,11.3,N/A
PLTR,PALANTIR TECHNOLOGIES INC CL A,184.12,3.1,UP,112.63,185.94,51.84,N/A
PLUG,PLUG POWER INC COM NEW,2.37,50.0,UP,4.88,-7.37,137.18,N/A
PM,PHILIP MORRIS INTL INC COM,150.065,0.0,DOWN,5.84,17.99,6.59,N/A
PNC,PNC FINL SVCS GROUP INC COM,211.91,1.6,UP,3.82,11.97,1.97,N/A
POET,POET TECHNOLOGIES INC COM NEW,6.9665,6.3,UP,1203.59,-36.67,11.33,N/A
PONY,PONY AI INC SPONSORED ADS,14.9858,1.6,UP,67.4,-26.24,7.2,N/A
PPG,PPG INDS INC COM,103.105,0.0,DOWN,1.48,12.65,1.98,N/A
PSKY,PARAMOUNT SKYDANCE CORP COM CL B,14.1699,0.0,UP,0.54,13.51,8.79,N/A
PSQH,PSQ HOLDINGS INC CL A,1.4235,50.0,DOWN,2.39,-5.93,1.21,N/A
PSX,PHILLIPS 66 COM,142.575,1.6,UP,0.44,12.0,2.44,N/A
PTON,PELOTON INTERACTIVE INC CL A COM,6.825,25.0,DOWN,1.16,75.83,11.85,N/A
PYPL,PAYPAL HLDGS INC COM,61.835,1.6,DOWN,1.8,10.64,16.61,N/A
QBTS,D-WAVE QUANTUM INC COM,27.47,0.8,UP,406.2,-128.97,53.0,N/A
QCOM,QUALCOMM INC COM,182.865,0.0,UP,4.46,14.74,10.02,N/A
QQQ,INVESCO QQQ TR UNIT SER 1,0,0.0,Down,0,0,57.97,N/A
QS,QUANTUMSCAPE CORP COM CL A,12.737,0.0,UP,0,-19.18,40.01,N/A
QSI,QUANTUM SI INC COM CL A,1.3659,50.0,DOWN,92.65,-3.33,11.73,N/A
QUBT,QUANTUM COMPUTING INC COM,12.825,12.5,DOWN,5264.43,-67.5,38.91,N/A
QXO,QXO INC COM NEW,22.1786,0.0,UP,3.21,48.69,7.92,N/A
RANI,RANI THERAPEUTICS HLDGS INC COM CL A,1.51,0.0,UP,154.33,-4.77,18.23,N/A
RBLX,ROBLOX CORP CL A,91.611,3.1,DOWN,14.41,-56.98,7.48,N/A
RBRK,RUBRIK INC. CL A,83.41,0.0,UP,13.95,1036.28,3.4,N/A
RCAT,RED CAT HLDGS INC COM,8.615,0.0,UP,138.15,123.07,11.77,N/A
RCL,ROYAL CARIBBEAN GROUP COM,278.89,1.6,UP,4.36,15.69,2.24,N/A
RDDT,REDDIT INC CL A,234.525,1.6,UP,23.33,38.3,5.46,N/A
RDW,REDWIRE CORPORATION COM,7.93,6.3,DOWN,4.42,-20.87,7.95,N/A
REGN,REGENERON PHARMACEUTICALS COM,738.24,1.6,UP,5.49,16.73,1.11,N/A
REPL,REPLIMUNE GROUP INC COM,9.8234,12.5,UP,0,-4.76,5.08,N/A
RGTI,RIGETTI COMPUTING INC COMMON STOCK,26.39,3.1,UP,1162.18,-182.0,81.71,N/A
RH,RH COM,167.97,0.0,DOWN,0.94,14.38,0.97,N/A
RIG,TRANSOCEAN LTD REGISTERED SHS,4.28,25.0,UP,1.22,26.94,48.83,N/A
RILY,B. RILEY FINANCIAL INC COM,3.99,3.1,DOWN,0.21,0,0.67,N/A
RIOT,RIOT PLATFORMS INC COM,16.16,0.0,UP,9.43,-26.49,27.16,N/A
RIVN,RIVIAN AUTOMOTIVE INC COM CL A,19.0699,0.0,UP,4.01,-7.98,47.96,N/A
RKLB,ROCKET LAB CORP COM,64.5411,3.1,UP,62.17,-553.19,22.13,N/A
RKT,ROCKET COS INC COM CL A,19.17,0.0,UP,8.85,23.68,39.55,N/A
RNG,RINGCENTRAL INC CL A,31.12,0.0,UP,1.08,6.51,1.43,N/A
ROKU,ROKU INC COM CL A,108.4246,0.0,UP,3.53,94.4,3.16,N/A
ROST,ROSS STORES INC COM,183.73,0.0,UP,2.71,25.74,2.6,N/A
RR,RICHTECH ROBOTICS INC CL B,4.5791,0.0,UP,220.12,0,41.76,N/A
RSP,INVESCO EXCHANGE TRADED FD TR S&P500 EQL WGT,0,0.0,Down,0,0,16.82,N/A
RTX,RTX CORPORATION COM,178.27,0.0,UP,2.78,26.28,4.7,N/A
RUM,RUMBLE INC COM CL A,7.27,25.0,DOWN,23.75,-23.45,3.76,N/A
RUN,SUNRUN INC COM,18.58,0.0,UP,1.86,24.17,8.8,N/A
RXRX,RECURSION PHARMACEUTICALS INC CL A,4.595,0.0,DOWN,54.82,-3.67,43.35,N/A
RZLV,REZOLVE AI PLC ORD SHS,2.63,0.0,DOWN,160.08,0,19.29,N/A
S,SENTINELONE INC CL A,15.03,0.0,DOWN,5.35,49.9,6.75,N/A
SAP,SAP SE SPON ADR,247.3,0.8,DOWN,7.91,29.25,1.56,N/A
SATS,ECHOSTAR CORP CL A,105.41,0.0,UP,2.0,-30.08,4.43,N/A
SAVA,CASSAVA SCIENCES INC COM,3.195,0.0,UP,0,-1.81,2.79,N/A
SBET,SHARPLINK GAMING INC COM NEW,11.65,0.0,DOWN,174.84,13.16,13.15,N/A
SBUX,STARBUCKS CORP COM,85.58,3.1,DOWN,2.62,28.4,9.84,N/A
SCHD,SCHWAB STRATEGIC TR US DIVIDEND EQ,0,0.0,Down,0,0,17.84,N/A
SCHW,SCHWAB CHARLES CORP COM,95.32,0.0,UP,7.55,16.97,8.89,N/A
SE,SEA LTD SPONSORD ADS,128.73,6.3,DOWN,3.62,25.27,4.68,N/A
SEDG,SOLAREDGE TECHNOLOGIES INC COM,30.7775,6.3,UP,1.76,87.05,4.0,N/A
SERV,SERVE ROBOTICS INC COM,13.4301,3.1,UP,514.44,-7.52,10.69,N/A
SFIX,STITCH FIX INC COM CL A,5.61,0.0,UP,0.58,-225.48,2.96,N/A
SG,SWEETGREEN INC COM CL A,7.315,12.5,DOWN,1.26,-13.61,5.98,N/A
SHAK,SHAKE SHACK INC CL A,83.475,0.0,DOWN,2.59,51.77,1.35,N/A
SHEL,SHELL PLC SPON ADS,72.39,0.0,UP,0.77,10.97,4.16,N/A
SHOP,SHOPIFY INC CL A SUB VTG SHS,163.057,0.0,UP,19.85,88.5,8.5,N/A
SIG,SIGNET JEWELERS LIMITED SHS,90.72,1.6,UP,0.54,8.61,0.84,N/A
SILJ,AMPLIFY ETF TR AMPLIFY JUNIOR S,0,0.0,Down,0,0,7.94,N/A
SIRI,SIRIUSXM HOLDINGS INC COMMON STOCK,22.0,0.2,DOWN,0.87,7.05,3.55,N/A
SKYT,SKYWATER TECHNOLOGY INC COM,19.3721,6.3,UP,2.71,-68.78,2.13,N/A
SLB,SLB LIMITED COM STK,40.325,3.1,UP,1.71,13.61,16.6,N/A
SLV,ISHARES SILVER TR ISHARES,0,0.0,Down,0,0,38.59,N/A
SMCI,SUPER MICRO COMPUTER INC COM NEW,34.015,0.0,DOWN,0.96,11.18,28.39,N/A
SMH,VANECK ETF TRUST SEMICONDUCTR ETF,0,0.0,Down,0,0,8.19,N/A
SMMT,SUMMIT THERAPEUTICS INC COM,17.79,6.3,DOWN,0,-17.86,3.35,N/A
SMR,NUSCALE PWR CORP CL A COM,20.33,6.3,DOWN,89.99,-36.45,24.01,N/A
SNAP,SNAP INC CL A,7.635,0.0,DOWN,2.27,15.9,83.49,N/A
SNDK,SANDISK CORP COM,223.74,0.0,UP,4.21,11.01,11.04,N/A
SNOW,SNOWFLAKE INC COM SHS,219.975,0.1,UP,17.16,134.43,4.98,N/A
SNPS,SYNOPSYS INC COM,475.87,0.0,DOWN,12.86,28.1,2.61,N/A
SNV,SYNOVUS FINL CORP COM NEW,52.965,0.8,UP,3.21,9.49,1.27,N/A
SO,SOUTHERN CO COM,84.72,1.6,DOWN,3.23,18.54,5.98,N/A
SOC,SABLE OFFSHORE CORP COM SHS,6.03,0.0,DOWN,0,-2.77,6.57,N/A
SOFI,SOFI TECHNOLOGIES INC COM,27.175,0.0,UP,10.41,47.18,73.4,N/A
SONY,SONY GROUP CORP SPONSORED ADR,26.865,3.1,UP,0.01,22.58,4.03,N/A
SOUN,SOUNDHOUND AI INC CLASS A COM,12.3346,12.5,UP,34.92,-164.46,45.51,N/A
SOXL,DIREXION SHS ETF TR DLY SCOND 3XBU,0,0.0,Down,0,0,89.6,N/A
SOXS,DIREXION SHS ETF TR DAILY SEMICONDUC,0,0.0,Down,0,0,281.65,N/A
SOXX,ISHARES TR ISHARES SEMICDTR,0,0.0,Down,0,0,7.23,N/A
SPCE,VIRGIN GALACTIC HOLDINGS INC COM NEW,3.46,12.5,UP,131.65,-0.83,4.34,N/A
SPGI,S&P GLOBAL INC COM,501.435,1.6,DOWN,10.2,25.33,1.71,N/A
SPOT,SPOTIFY TECHNOLOGY S A SHS,604.0,0.8,DOWN,7.36,42.41,1.8,N/A
SPXL,DIREXION SHS ETF TR DRX S&P500BULL,0,0.0,Down,0,0,3.51,N/A
SPXS,DIREXION SHS ETF TR DAILY S&P 500 B,0,0.0,Down,0,0,6.27,N/A
SPXU,PROSHARES TR ULTRAPRO SHORT S,0,0.0,Down,0,0,8.53,N/A
SPY,SPDR S&P 500 ETF TR TR UNIT,0,0.0,Down,0,0,79.48,N/A
SQQQ,PROSHARES TR ULTRAPRO SHORT,0,0.0,Down,0,0,32.78,N/A
SRPT,SAREPTA THERAPEUTICS INC COM,21.54,0.0,DOWN,0.94,7.44,5.4,N/A
SSO,PROSHARES TR PSHS ULT S&P 500,0,0.0,Down,0,74.53,5.1,N/A
STLA,STELLANTIS N.V SHS,11.9319,6.3,UP,0.24,6.0,16.55,N/A
STX,SEAGATE TECHNOLOGY HLDNGS PLC ORD SHS,296.37,1.6,UP,6.76,20.08,4.44,N/A
STZ,CONSTELLATION BRANDS INC CL A,150.38,0.0,DOWN,2.72,12.11,2.68,N/A
SU,SUNCOR ENERGY INC NEW COM,44.2067,0.0,UP,1.09,14.64,4.16,N/A
SVIX,-1x Short VIX Futures ETF,0,0.0,Down,0,0,3.94,N/A
SYM,SYMBOTIC INC CLASS A COM,63.49,0.0,UP,16.75,81.98,2.86,N/A
T,AT&T INC COM,24.605,0.0,DOWN,1.41,11.03,49.16,N/A
TDOC,TELADOC HEALTH INC COM,7.7399,0.0,DOWN,0.54,-8.84,7.55,N/A
TEAM,ATLASSIAN CORPORATION CL A,164.06,3.1,DOWN,7.91,29.18,2.81,N/A
TECK,TECK RESOURCES LTD CL B,44.0002,0.0,UP,2.05,22.84,4.3,N/A
TEM,TEMPUS AI INC CL A,73.655,3.1,UP,11.86,-157.13,6.56,N/A
TER,TERADYNE INC COM,200.48,0.0,UP,11.15,39.26,3.58,N/A
TEVA,TEVA PHARMACEUTICAL INDS LTD SPONSORED ADS,29.9,3.1,UP,2.04,10.72,11.36,N/A
TGT,TARGET CORP COM,97.77,1.6,UP,0.42,12.73,7.91,N/A
TIGR,UP FINTECH HLDG LTD SPONSORED ADS,9.375,12.5,DOWN,3.41,9.72,4.53,N/A
TJX,TJX COS INC NEW COM,156.75,3.1,UP,2.96,30.43,5.18,N/A
TLN,TALEN ENERGY CORP COM,367.305,0.4,UP,7.16,17.94,0.84,N/A
TLRY,TILRAY BRANDS INC COM,11.23,0.0,UP,1.57,282.66,7.17,N/A
TLT,ISHARES TR 20 YR TR BD ETF,0,0.0,Down,0,-4372.18,32.28,N/A
TMC,TMC THE METALS COMPANY INC COM,7.25,0.0,UP,0,-32.58,9.99,N/A
